mRID,aliasName,description,name,basePower
f93bd245-987f-484d-8e19-9ed54a399be6,Trupe,Encounter for screening for other digestive system disorders,Crawford & Company,1000
3c9d8252-dd47-42d7-9b4e-72dd0ab9e413,Topiclounge,"Oth injury of femoral artery, right leg, init encntr",Nuveen Arizona Quality Municipal Income Fund,500
c5a77b50-a406-4c50-a3d6-68d897577f7c,Eamia,"Unsp inj unsp musc/tend at low leg level, left leg, sequela","Soligenix, Inc.",1000
44f6433e-25fa-48f3-b1bd-c7569e9c6714,Meemm,"Stress fracture, left finger(s), subs for fx w delay heal","Knight Transportation, Inc.",200
e786b50c-c02e-4a64-b3a6-f5a84eed7e2f,Skaboo,"Displ suprcndl fx w/o intrcndl extn lower end l femur, sqla","Microvision, Inc.",1000
9a8c478a-a2b2-483a-a8cd-3d8814245c6b,Skippad,"Nondisp osteochon fx unsp patella, 7thH",Triangle Capital Corporation,500
9594d02a-d769-48e1-a610-67ff29685cca,Twitterworks,Direct infct of verteb in infec/parastc dis classd elswhr,Bitauto Holdings Limited,100
79e60796-806e-41c1-9259-452dae12a5b3,Devify,"Drug-induced chronic gout, vertebrae, without tophus (tophi)","Telephone and Data Systems, Inc.",1000
2effb759-a7a9-4290-a290-bfc55bcf77d5,Blogtag,"Uterine size-date discrepancy, third trimester",Check Point Software Technologies Ltd.,100
1ac46d95-7a1f-469d-9513-9e3d348240cb,Katz,"Pnctr w/o fb of r mid finger w damage to nail, subs","Seres Therapeutics, Inc.",100
