mRID,aliasName,description,name
83958586-7e1b-4e97-aff1-fbe84da805d5,Centidel,"Unsp fx shaft of left radius, subs for clos fx w routn heal","SkyWest, Inc."
fbb78fdd-aea0-4456-97d2-1e527264d498,Oyoloo,"Maternal care for oth isoimmun, second trimester, fetus 4",Entercom Communications Corporation
8dc6ac58-15f1-44fb-b35b-d6bef77710b1,JumpXS,"Disp fx of coronoid pro of r ulna, 7thN",Seanergy Maritime Holdings Corp
b0151717-0b97-46a8-88e4-98863a3b5abd,Twimbo,"Type 1 fracture of sacrum, init encntr for open fracture",First Trust Nasdaq Bank ETF
a5254f18-1705-489f-b5ef-6f6d92ebe42f,Feedbug,"Corneal ectasia, left eye","ESSA Bancorp, Inc."
8cad4b89-9ccc-4af7-bf0d-827072fb8e65,Yamia,"Dislocation of carpometacarpal joint of unsp hand, sequela","TRACON Pharmaceuticals, Inc."
7d4b7d45-e501-4b2c-990c-bf208eaf9c78,Oyope,"Displ transverse fx shaft of unsp rad, 7thP",AdvisorShares Market Adaptive Unconstrained Income ETF
e3e2c314-a660-4b9e-8164-1fc877f9505b,Jaxnation,"Milt op w intentl restrict of air/airwy, milt, sequela","OneMain Holdings, Inc."
be71fc5f-e3f8-4922-9ec9-b63c6d64ebf1,Camido,"Poisoning by antithrombotic drugs, undetermined, sequela",Matthews International Corporation
dbfcf8c6-f4e2-4850-9d1d-64bee899fc1c,Talane,"Air embolism in pregnancy, unspecified trimester",Southwestern Energy Company
