mRID,aliasName,description,name,subGeographicalRegionId
93579d3f-84ce-47b8-8c9d-9aea02a0d346,Yabox,Injury of left iliac vein,"Blackrock MuniYield Quality Fund, Inc.",02758313-f6cb-47de-9553-6351524f394c
2f8eeb64-2654-4324-ad47-b2b16d0519ca,Nlounge,Other chest pain,Medovex Corp.,38bfa3d9-aa49-4110-838b-55a640b02e2b
f4826d31-18e6-4f47-994a-c9eeccb8962e,Demizz,Encounter for screening for other viral diseases,Navient Corporation,3559b1c6-236b-464c-9bc2-a5e59951f6a9
5380a02a-53dc-463a-8d7b-3318572799cd,Youspan,"Aqueous misdirection, left eye",PowerShares Water Resources Portfolio,9c5f9602-31af-4942-9a54-b8fedcc222d6
27de724a-8956-4b08-ae7e-dff6de1d69c4,Kwimbee,"Toxic effect of chlorofluorocarbons, assault","MAM Software Group, Inc.",20cfa0c5-7351-4660-91eb-c46c0b8d051d
26798e3c-162a-4b1c-8f95-a9b8ea6936d0,Gabtype,"Quadruplet pregnancy, unsp num plcnta & amnio sacs",Enduro Royalty Trust,45c57cf8-da6e-45a4-bf96-ecd1b7a6086a
68f8c314-8c7e-42da-b5a3-50e2b36b1f28,Youfeed,"Toxic effect of halogenated insecticides, self-harm, subs",Genetic Technologies Ltd,14777e13-f547-495f-80b5-037248f2fb3a
d4cfcf38-0481-434e-a9e7-6f17b80b838b,Lazz,Disorders of diaphragm,Enzymotec Ltd.,433eddf4-eb56-42ac-b349-2681d55d83e7
4175d9f9-602d-4c8c-846b-56cf04fb6510,Thoughtbridge,"Dislocation of MCP joint of unsp finger, sequela",MRC Global Inc.,6796f64d-cc51-4b1a-82b0-0731ff7dffc8
cd991d3b-a6ce-4343-94eb-ac2beee7bb89,Kazu,Other fatigue,"VistaGen Therapeutics, Inc.",be6cadce-f1d8-4582-8045-80515d12c91c
