mRID,aliasName,description,name,highVoltageLimit,lowVoltageLimit,BaseVoltageId,SubstationId
7c52dadb-f0d8-478f-bab9-e1d353c7fe86,Gabspot,Filariasis,Crawford & Company,132,1000,c63ee92d-bf1c-4e8b-81ec-b88af5b1bb23,606c8677-2cbf-4370-8fd3-95afbf1766b1
53a53ab4-f12a-4346-86fb-a54a0eb2e0f1,Tekfly,"Displ transverse fx shaft of l femr, 7thN",Dick's Sporting Goods Inc,132,1000,85e88a6c-5c1f-422e-95f6-bd36ec3b0ffe,9ce094bc-ded9-4cf4-a703-4a2e440f7643
f123951f-d58b-4009-b2f6-cdedc2cee5a1,Thoughtstorm,"Find of drugs and oth substnc, not normally found in blood",Wyndham Worldwide Corp,132,1000,3b4fa4a5-1234-47ab-8943-c1bc9b6733a6,6a34cfa5-9d19-4b9f-b403-fecc84adb79c
9bb4efcd-1b30-4647-8cfb-1f79b17b74f8,Topicstorm,"Hydatidiform mole, unspecified",Terreno Realty Corporation,132,100,689248d3-13c0-4e63-be07-dbd8e92910ca,867f5b6b-6a77-4b13-a3e6-8cf0fc55eb10
6cc620b9-ef8e-44af-b4f2-63e4e725079e,Yakitri,"Stable burst fx third lum vertebra, subs for fx w nonunion",Sherwin-Williams Company (The),132,100,31e2f70d-fc4e-489d-83bc-72a8af3c5c25,2e5487eb-f154-44d8-8463-defcaf369ae2
7326f49b-0037-44f0-af36-bcdaf431f657,Gabspot,"Acute Eustachian salpingitis, bilateral","Williams-Sonoma, Inc.",345,100,64c58687-6b7d-4292-94a2-3834840b1473,c0829c4c-1a01-4990-9bf5-336db601e147
c07f2cde-3365-49ea-a75f-5793b334fcb1,Quimm,Open bite of lip and oral cavity,"Owens-Illinois, Inc.",132,1000,63bc6158-393e-4aa0-b2b7-2c7915b7654f,3b8b3a6b-fefb-4dbd-ada2-5ec09a90bf9b
c7672f31-4a44-48b7-9a54-58040a1aa361,Avamm,"Diab with diabetic macular edema, resolved fol trtmt, unsp",John Hancock Financial Opportunities Fund,132,100,fd9a8a9c-6252-46aa-a14f-8543d51dab79,dfa82b87-0762-4d44-b63d-843ba8f30524
336ca4cc-b200-465e-967b-79facaac4dd3,Zoomzone,Unspecified injury of left innominate or subclavian artery,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",132,100,4b50c159-4208-401b-af7a-a7d8f309873a,dfd7ad26-7c7d-4f4f-9eee-a1bec6501e6a
40e63540-9c2a-4af3-8dd4-9e242d08a8cc,Thoughtblab,"Corrosion of unsp degree of left hand, unspecified site","Sinovac Biotech, Ltd.",345,1000,850bd0e4-8676-4bbe-ab87-be46873ee082,2bbde616-00b3-49f8-b7ab-7f950b13c83a
