mRID,aliasName,description,name,connected,sequenceNumber,phasesId,ConductingEquipmentId,ConnectivityNodeId
0d55068d-8022-4645-aa22-221248197bf2,Realcube,"Nondisp fx of lateral end of right clavicle, init",Triangle Capital Corporation,false,1,ABCN,cff02c57-33dd-43f9-8d80-adfb8d339f0d,85ebcbe2-4a20-460e-9444-50a927ff2e15
d4c79cf7-e3f5-47e0-b6ce-ab68471d7a27,Quamba,"Unsp fx shaft of right tibia, init for opn fx type 3A/B/C","Tenax Therapeutics, Inc.",true,2,ABC,e6009cd7-aeb9-4a12-aefd-4d577803eba9,6ba97b97-9cd1-4bb9-9d56-e55a21a5efb9
e3a9219f-428b-4547-9f19-ff77be63ba02,Quaxo,"Nondisp seg fx shaft of unsp fibula, 7thG",TCP Capital Corp.,true,3,ABN,807cefe0-6370-4380-bba5-39a2980fdaaf,5ecb1915-26c8-4ac9-b31e-42633735187f
9c4cd8af-57c0-4137-8a96-8950ad985fc1,Innojam,"Osteochondritis dissecans, left hip","MabVax Therapeutics Holdings, Inc.",false,4,ACN,6c0e4f0d-e1dd-46ea-98e4-4eae7542b516,fb745b0a-b23e-4b4a-8fa8-1663ddf2073d
4f5c77fa-4cb1-44f6-9cb3-a618b3428347,Tagchat,"Labor and delivery complicated by prolapse of cord, fetus 2",CABCO Series 2004-101 Trust,true,5,BCN,22fa429b-cbda-4c43-a218-fc72e4e10c85,5157793f-686b-419c-91e9-6f651bda62d5
9f18cf68-9f7f-465b-b7be-87cd1ab8243d,Mynte,"Cannabis use, unspecified with intoxication",Trillium Therapeutics Inc.,false,6,AB,941d4b88-d7d2-424a-88ae-5bb5bc777289,edf39175-4983-4773-9cf5-7632acc317dc
0dcdec5b-d002-402c-af03-86f04f7539ec,Kanoodle,"Pigmentary glaucoma, right eye, moderate stage",B Communications Ltd.,true,7,AC,3b50ad0d-1b23-49f3-a103-7ea166ab17fa,2428261e-61b9-4b1a-a759-a9ebfe0cb464
54831118-fffe-4267-9ada-5af6486f1176,Tambee,"Total (external) ophthalmoplegia, right eye",Check-Cap Ltd.,true,8,BC,3fa033b9-f254-43f6-9e16-8891f5607e28,85199686-5ddd-4251-bafa-85b09b850013	
4e45c6cf-3955-461b-911e-fe79bf1fda42,Agivu,Unspecified acquired deformity of limb and hand,Bank of Danish Goverment,false,9,AN,738c179e-e603-4d03-bcc7-3c13dd416811,66a2d8af-3478-4d82-af33-ffef5653fb8e
a9ba15bf-5029-4aa8-8364-a84d88fce2d5,Youspan,"Burn of first degree of chest wall, subsequent encounter","Oaktree Capital Group, LLC",true,10,BN,6c3ca8c9-87f5-4d19-bb25-a4cc0ee79dd5,e291329c-3557-4bac-8000-c9e36f22b81d
