desc,name, virtual, generalEquipmentEnum
"Miscellaneous operational equipment, GE Sensor",GE Sensor, FALSE,Enum 2
"Miscellaneous operational equipment, GE Actuator",GE Actuator, TRUE,Enum 3
"Miscellaneous operational equipment, GE Detector",GE Detector, FALSE,Enum 4
"Miscellaneous operational equipment, GE Indicator",GE Indicator, TRUE,Enum 1
"Miscellaneous operational equipment, GE Transducer",GE Transducer, FALSE,Enum 2
"Miscellaneous operational equipment, GE Recorder",GE Recorder, TRUE,Enum 3
"Miscellaneous operational equipment, GE Analyzer",GE Analyzer, FALSE,Enum 4
"Miscellaneous operational equipment, GE Monitor",GE Monitor, TRUE,Enum 1
"Miscellaneous operational equipment, GE Controller",GE Controller, FALSE,Enum 2
"Miscellaneous operational equipment, GE Switch",GE Switch, TRUE,Enum 3
